timestamp,symbol,active_ce,active_pe,open,high,low,close,instrument_token,wpr_9,wpr_28,stoch_k,stoch_d,swing_low,supertrend,supertrend_dir,fast_ma,slow_ma,sma11,demarker
2026-03-05T09:15:00,NIFTY2631024300CE,0.0,0.0,490.0,534.75,416.9,439.95,11644930.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024350CE,0.0,0.0,425.0,456.6,382.45,404.5,11645442.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024400CE,0.0,0.0,400.0,440.0,349.25,370.5,11646210.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024450CE,0.0,0.0,323.4,379.0,316.95,338.0,11647234.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024500CE,0.0,0.0,340.0,340.0,286.9,307.6,11647746.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024550CE,1.0,0.0,300.0,320.55,259.35,279.2,11650306.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024600CE,0.0,0.0,271.0,312.95,232.4,250.15,11651330.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024650CE,0.0,0.0,265.05,275.2,206.7,224.1,11651842.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024700CE,0.0,0.0,240.0,270.0,182.25,199.35,11652354.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024750CE,0.0,0.0,220.0,220.0,160.85,176.7,11652866.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024800CE,0.0,0.0,175.0,196.0,140.4,155.15,11653634.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024250PE,0.0,0.0,236.25,236.25,148.8,161.85,11644674.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024300PE,0.0,0.0,190.0,209.6,160.65,176.4,11645186.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024350PE,0.0,0.0,249.4,249.4,175.0,191.75,11645954.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024400PE,0.0,0.0,219.95,248.55,190.05,206.4,11646978.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024450PE,0.0,0.0,264.95,265.0,207.55,223.55,11647490.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024500PE,0.0,1.0,298.55,298.55,225.4,243.05,11650050.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024550PE,0.0,0.0,277.0,277.0,246.5,263.7,11650562.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024600PE,0.0,0.0,362.85,362.85,267.95,285.75,11651586.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024650PE,0.0,0.0,359.15,359.15,291.0,310.85,11652098.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024700PE,0.0,0.0,442.25,442.25,315.6,336.3,11652610.0,,,,,,,,,,,0.0
2026-03-05T09:15:00,NIFTY2631024750PE,0.0,0.0,429.4,429.4,341.05,361.95,11653122.0,,,,,,,,,,,0.0
2026-03-05T10:30:00,NIFTY 50,24541.05,24551.15,24541.05,24551.15,0.0,0.0,,,,,,,,,,,,
2026-03-05T10:30:00,NIFTY2631024300CE,401.75,405.0,398.95,400.2,0.0,0.0,11644930.0,-96.87,-98.43,0.0,1.87,398.95,424.74,-1.0,418.91,422.0,422.0,0.12
2026-03-05T10:30:00,NIFTY2631024350CE,366.1,368.5,362.8,364.3,0.0,0.0,11645442.0,-96.03,-98.03,0.0,3.0,362.8,387.44,-1.0,381.91,384.89,384.89,0.15
2026-03-05T10:30:00,NIFTY2631024400CE,330.85,334.0,328.25,329.9,0.0,0.0,11646210.0,-95.51,-97.8,0.0,2.07,328.25,352.89,-1.0,346.51,349.24,349.24,0.14
2026-03-05T10:30:00,NIFTY2631024450CE,297.9,301.35,295.7,296.4,0.0,0.0,11647234.0,-97.94,-99.01,0.0,2.84,295.7,319.4,-1.0,312.19,314.87,314.87,0.12
2026-03-05T10:30:00,NIFTY2631024500CE,266.4,269.1,264.2,266.85,0.0,0.0,11647746.0,-91.55,-95.94,1.76,2.53,264.1,286.33,-1.0,279.98,282.49,282.49,0.12
2026-03-05T10:30:00,NIFTY2631024550CE,238.35,246.0,238.2,245.0,0.0,0.0,11650306.0,-65.08,-83.62,18.5,6.65,234.35,255.93,-1.0,247.67,250.05,250.05,0.25
2026-03-05T10:30:00,NIFTY2631024600CE,215.95,217.7,214.55,215.05,1.0,0.0,11651330.0,-71.25,-86.8,14.04,4.88,207.0,226.67,-1.0,218.82,221.1,221.1,0.24
2026-03-05T10:30:00,NIFTY2631024650CE,183.55,185.65,181.3,182.1,0.0,0.0,11651842.0,-96.92,-98.6,0.0,2.12,181.3,199.73,-1.0,193.83,195.95,195.95,0.13
