timestamp,candle_time,age_min,symbol,open,high,low,close,active_ce,active_pe,instrument_token,fast_ma,slow_ma,sma11,wpr_9,wpr_28,supertrend,supertrend_dir,stoch_k,stoch_d,swing_low,demarker
2026-03-06T09:15:00,2026-03-06T15:01:00,-346.0,NIFTY 50,24466.8,24466.8,24466.8,24466.8,0.0,0.0,,,,,,,,,,,,
2026-03-06T09:15:00,2026-03-06T09:15:00,0.0,NIFTY2631024250CE,444.5,462.55,435.9,445.55,0.0,0.0,11643906.0,,,,,,,,,,,0.0
2026-03-06T09:15:00,2026-03-06T09:15:00,0.0,NIFTY2631024300CE,421.7,425.7,400.05,407.7,0.0,0.0,11644930.0,,,,,,,,,,,0.0
2026-03-06T09:15:00,2026-03-06T09:15:00,0.0,NIFTY2631024350CE,400.0,400.0,363.15,371.05,0.0,0.0,11645442.0,,,,,,,,,,,0.0
2026-03-06T09:15:00,2026-03-06T09:15:00,0.0,NIFTY2631024400CE,350.05,351.85,325.0,337.0,0.0,0.0,11646210.0,,,,,,,,,,,0.0
2026-03-06T09:15:00,2026-03-06T09:15:00,0.0,NIFTY2631024450CE,273.15,349.9,273.15,303.3,0.0,0.0,11647234.0,,,,,,,,,,,0.0
2026-03-06T09:15:00,2026-03-06T09:15:00,0.0,NIFTY2631024500CE,324.0,324.0,249.85,270.9,1.0,0.0,11647746.0,,,,,,,,,,,0.0
2026-03-06T09:15:00,2026-03-06T09:15:00,0.0,NIFTY2631024550CE,289.0,289.0,224.0,240.0,0.0,0.0,11650306.0,,,,,,,,,,,0.0
2026-03-06T09:15:00,2026-03-06T09:15:00,0.0,NIFTY2631024600CE,249.0,249.0,203.05,213.85,0.0,0.0,11651330.0,,,,,,,,,,,0.0
2026-03-06T09:15:00,2026-03-06T09:15:00,0.0,NIFTY2631024650CE,224.0,224.0,175.3,186.45,0.0,0.0,11651842.0,,,,,,,,,,,0.0
2026-03-06T09:15:00,2026-03-06T09:15:00,0.0,NIFTY2631024700CE,198.0,198.0,150.6,161.9,0.0,0.0,11652354.0,,,,,,,,,,,0.0
